method,nu,loc,scale,n,ks,dataset
OLD_postfilter,5.84648263453847,0.014910618506135051,0.7218293696283544,19223,0.020272567199318525,1yr
OLD_postfilter,5.737343272564084,0.009313877283795836,0.75941124302526,176978,0.022691178856490968,15yr
NEW_w200_g60min,5.818783656555359,0.015115167903993088,0.721458084076663,19105,0.02023104367285139,1yr
NEW_w200_g60min,5.77431882668264,0.009243051561698634,0.7578891399052226,169374,0.022793937513160334,15yr
NEW_w80_g15min,4.521259780491744,0.012928308865289645,0.8623822129937904,50073,0.020910067593203407,1yr
NEW_w80_g15min,4.48092148224889,0.010806848640373014,0.8853945169368478,440306,0.02504282103297739,15yr
