year,n,nu,loc,scale,ks,shoulder,quality
2010,31706,5.505365152877971,0.009878611576084679,0.845124968390004,0.08847909353095651,0.0030474729203741127,FAIL
2011,54807,5.85443161236101,0.0032744097126268883,0.8796387518089399,0.0720618950259751,0.002942480923639579,FAIL
2012,53780,5.618064529114768,0.007234099404127015,0.8466372640916029,0.09059839636994671,0.0013247868232314636,FAIL
2013,53261,5.35689621143791,0.016947446601932807,0.8483816214334227,0.09859605215152328,0.003191333180304512,FAIL
2014,53857,5.032565879286129,0.005936056720826607,0.8717134222975771,0.08904622444291221,0.0022803880644091112,FAIL
2015,58517,5.091429789299498,0.001352231557282649,0.8760916183907077,0.06506115713229932,0.0033025890426069404,FAIL
2016,57216,5.276395383586287,0.004446080466504101,0.8688306248559151,0.07329124140462784,0.0024430865186962913,FAIL
2017,55594,5.147817306371075,0.018301962872621896,0.8698621614168409,0.1023201453517556,0.004517017810688584,FAIL
2018,60035,5.472482667371269,0.006038323824993512,0.9101694002876253,0.05512892748085657,0.002780111990847489,FAIL
2019,59499,4.156130108997925,0.016504843872011392,0.8245116046763945,0.06245277756372303,0.00480797994995652,FAIL
2020,60325,4.966831272883436,0.011557578091901388,0.8853100871386694,0.03462337906342505,0.005228482239909682,GOOD
2021,59396,4.582331622392422,0.016993033286160808,0.8492652651139447,0.0404892401472034,0.00581100423787817,GOOD
2022,63210,4.637001720668787,0.0011553493552401064,0.8542063917295821,0.025323052030551685,0.004008961608319095,GOOD
2023,59740,4.824521086794778,0.016076951353171547,0.8457630960784892,0.04025315146367908,0.005836308687205902,GOOD
2024,60166,4.294827693240506,0.026276063802378048,0.8403610987963366,0.03787391590418415,0.007337689548090151,GOOD
2025,59887,4.431163235053605,0.01955577490422697,0.8168996868820193,0.03113789051845195,0.006007986038404189,GOOD
2026,17095,4.763894563461664,0.0036092092973364527,0.8288873332733826,0.021800988234079777,0.003609656153940044,GOOD
