contract,n_sessions,med_1,p90_1,med_10,p90_10,med_20,p90_20,med_40,p90_40,med_60,p90_60,med_80,p90_80,med_120,p90_120,med_160,p90_160,med_200,p90_200
ES,1330,,,0.38333075240823034,1.7728119123508177,0.37884859237224766,1.0143227064818814,0.45794190285108094,0.6960065996047249,0.552281615392125,0.749866064654422,0.6278452684362135,0.7964105272315141,0.3867472789450212,0.6828938394002364,0.4774008922225898,0.7051882882282028,0.2943467860226592,0.8674618638697629
NQ,1124,,,0.41045428580074617,1.8917403853416814,0.39019165687159835,0.8573319049297105,0.5047430245561398,0.737418751441941,0.6052038410031965,0.7927708862355972,0.694799398698243,0.8339762495359625,0.45027085221089946,0.7093225358397873,0.540661421349123,0.7377775125665909,0.39151930903354215,1.0420872846432183
RTY,523,,,0.3880743370608955,1.8109572776139498,0.37057273811948466,0.8617581541973073,0.5177191384235476,0.7172639993372064,0.6564544157838106,0.8003158875925265,0.7543762004406296,0.844156511554051,0.519566231820893,0.7162452848343752,0.5692196166027864,0.742490198590353,0.429849353125461,1.023216607295269
