cutoff,n,nu,loc,scale,ks,skew,nu_delta_vs_lock
2019-09-01,400906,4.550614390513477,0.01475983730546857,0.8438763775153134,0.035911625347836484,-0.11790214589868758,0.051385609486523265
2019-10-01,394556,4.569232933692227,0.014848891686957376,0.8451559264958111,0.03547737433684117,-0.03793575523554269,0.03276706630777326
2019-11-01,390244,4.575191614589091,0.014770870346260921,0.8457518775944106,0.035218175010278074,-0.033880440225218224,0.026808385410909352
2019-12-01,386146,4.584498893785258,0.014477536025796718,0.8467650343442987,0.03477193246462662,-0.03516330724394651,0.0175011062147421
2020-01-01,379819,4.615438336016769,0.014618365663608919,0.8477169112645462,0.03421484982389755,-0.12358361138721712,0.013438336016768915
2020-02-01,375555,4.612376539305298,0.014629728146381797,0.8476524741534404,0.03393176610795301,-0.12652639856128273,0.01037653930529725
2020-03-01,370741,4.602300600176349,0.015249586997630796,0.8462500438702328,0.03388698617256164,-0.12588616524845195,0.00030060017634880865
2020-04-01,364396,4.581219062367998,0.01573865913026755,0.8449590277644543,0.03393598522230029,-0.1372198461550021,0.020780937632002505
2020-05-01,359988,4.566893387833176,0.015747771410170704,0.8438165325973868,0.03409194135607019,-0.13945384012095105,0.03510661216682465
2020-06-01,355531,4.56438512211665,0.015796086657666984,0.8433350922627988,0.03411394520819189,-0.13205274793333657,0.037614877883350495
2020-07-01,348875,4.568482506007757,0.015595674240216136,0.8429768170366613,0.0342324112485598,-0.16667705381413792,0.03351749399224335
2020-08-01,344551,4.56730183354765,0.01548668236409827,0.8431630616522867,0.034211040547099836,-0.16918110762788377,0.03469816645235024
2020-09-01,340456,4.565490583346465,0.015361697160606433,0.8430712351874583,0.03410198547998422,-0.16874986384694982,0.036509416653535354
2020-10-01,333987,4.543916079839079,0.015089364392245952,0.8407232548861542,0.03417284031993284,-0.16818683907930612,0.058083920160921565
2020-11-01,329873,4.5491810063826765,0.015146402834311012,0.8410511825136416,0.03419939725462817,-0.1657330356343065,0.052818993617323784
2020-12-01,325902,4.543529653350289,0.015182060009506133,0.8408338953435248,0.03427817965569796,-0.18978199486986222,0.0584703466497114
