contract,gate,p95_primary,p70_secondary,n_pos_warmup
ES,A,1.6457662513532663,1.1097466649482732,22171
ES,B,2.5934526002452776,1.1051470503241951,30049
ES,C,2.912387960775699,1.2682151359620395,12316
NQ,A,1.677545239237253,1.1336822133767768,23700
NQ,B,2.641927399423585,1.1691738880327114,31860
NQ,C,2.8710483350864204,1.2684496076090526,12702
RTY,A,1.6360461575373715,1.1116179951671101,21874
RTY,B,2.583975423839559,1.1502472870459473,29300
RTY,C,2.9323688017309752,1.3087615312645597,11633
