gate,tier,n_events_scored,n_correct,accuracy,wilson_lo,wilson_hi,boot_mean,boot_lo,boot_hi,z_vs_half,mde_80pct
A,primary,4249,2050,0.4824664626971052,0.4674643192078746,0.497500281179247,0.4824664626971052,0.4678689103318428,0.4991821605083549,-2.285824603127426,0.021489706105103142
A,secondary,4489,2166,0.48251280908888394,0.46791635532452974,0.497139166567576,0.48251280908888394,0.4684729338382713,0.4967698819336155,-2.3432835820895517,0.020907352373977374
B,primary,4424,2135,0.4825949367088608,0.4678916908736395,0.4973283827373484,0.4825949367088608,0.46903254972875225,0.4968467450271247,-2.3153314003984127,0.02106038385191233
B,secondary,4511,2169,0.4808246508534693,0.46626700850622604,0.495414923943028,0.4808246508534693,0.4668587896253602,0.4961261361117269,-2.5757854733458707,0.020856307824150037
C,primary,4021,1940,0.48246704799801043,0.46704628854968444,0.4979212756531266,0.48246704799801043,0.4677816463566277,0.4986321810494902,-2.223576502970172,0.022090564049874317
C,secondary,4418,2072,0.46899049343594384,0.4543085257784201,0.4837263398874612,0.46899049343594384,0.4547249886826618,0.4830296514259846,-4.122282086066258,0.02107467984893269
