comparison,delta_acc,events_ratio_vs_A,events_ratio_vs_B,events_ratio_sec_over_pri
B − A (primary),0.00012847401175558604,1.0411861614497528,,
C − B (primary),-0.00012788871085034348,,0.9089059674502713,
B − A (secondary),-0.0016881582354146274,1.0049008687903764,,
C − B (secondary),-0.01183415741752547,,0.9793837286632676,
primary − secondary (Gate A),-4.6346391778750995e-05,,,1.056483878559661
primary − secondary (Gate B),0.0017702858553914624,,,1.0196654611211573
primary − secondary (Gate C),0.01347655456206659,,,1.0987316587913454
