contract,sample,n,old_nu,new_nu,old_loc,new_loc,old_scale,new_scale,new_ks,new_shoulder_max
ES,ES-post,370741,4.607,4.602300600176349,0.0132,0.015249586997630796,0.7716,0.8462500438702328,0.03388698617256164,0.004827334622663854
NQ,NQ-full,840115,4.383,4.409769343746322,0.0174,0.015571387424009722,0.7519,0.8509819771204536,0.02528997133128369,0.003835697310532238
RTY,RTY-full,440306,4.46,4.48092148224889,0.0094,0.010806848640373014,0.8279,0.8853945169368478,0.02504282103297739,0.0037806805760175755
