window_start,window_end,center,nu,loc,scale,n,ks
2018-03-07 00:00:00+00:00,2021-03-07 00:00:00+00:00,2019-09-06 00:00:00+00:00,4.735094567302889,0.0115949721549408,0.8677265082318155,178540,0.04944478253047352
2018-06-07 00:00:00+00:00,2021-06-07 00:00:00+00:00,2019-12-07 00:00:00+00:00,4.681515276693684,0.012549329590302895,0.86348242756448,177927,0.048239956028531594
2018-09-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,2020-03-08 00:00:00+00:00,4.628538868798037,0.013489250963765945,0.8611116801993275,178858,0.04723102000800239
2018-12-07 00:00:00+00:00,2021-12-07 00:00:00+00:00,2020-06-07 00:00:00+00:00,4.555828934862076,0.01417354651024284,0.8553572394186449,179108,0.04535142936688602
2019-03-07 00:00:00+00:00,2022-03-07 00:00:00+00:00,2020-09-05 00:00:00+00:00,4.518114093198622,0.013464416385496898,0.8530346629963971,180593,0.04401123664827472
2019-06-07 00:00:00+00:00,2022-06-07 00:00:00+00:00,2020-12-06 00:00:00+00:00,4.548088926152989,0.01206915976481682,0.8545450488902782,182546,0.04071354131764515
2019-09-07 00:00:00+00:00,2022-09-07 00:00:00+00:00,2021-03-08 00:00:00+00:00,4.653319114947793,0.010468477608911501,0.8578204913294873,182102,0.037651982320532185
2019-12-07 00:00:00+00:00,2022-12-07 00:00:00+00:00,2021-06-07 00:00:00+00:00,4.706437848844116,0.009867253475695004,0.8619361615722572,182792,0.03461363289855496
2020-03-07 00:00:00+00:00,2023-03-07 00:00:00+00:00,2021-09-05 12:00:00+00:00,4.676260874956997,0.011676589120182608,0.8571771665508214,181765,0.032683969448502825
2020-06-07 00:00:00+00:00,2023-06-07 00:00:00+00:00,2021-12-06 12:00:00+00:00,4.651931985732588,0.011497230026493345,0.8529509514067771,182074,0.033254598241168054
2020-09-07 00:00:00+00:00,2023-09-07 00:00:00+00:00,2022-03-08 12:00:00+00:00,4.6871983219395155,0.010986555843891625,0.8522251859681078,182592,0.0340616763506183
2020-12-07 00:00:00+00:00,2023-12-07 00:00:00+00:00,2022-06-07 12:00:00+00:00,4.674141908464416,0.010829258181481647,0.849783966670842,183025,0.03490866905314505
2021-03-07 00:00:00+00:00,2024-03-07 00:00:00+00:00,2022-09-06 00:00:00+00:00,4.653570779252357,0.012020102795003968,0.8483064159984608,183175,0.03575737460857453
2021-06-07 00:00:00+00:00,2024-06-07 00:00:00+00:00,2022-12-07 00:00:00+00:00,4.609917219687417,0.012251542733163305,0.8473105484954324,183353,0.03581783515672926
2021-09-07 00:00:00+00:00,2024-09-07 00:00:00+00:00,2023-03-09 00:00:00+00:00,4.595881275634339,0.01219787634915569,0.8486519908110464,183686,0.03394992875635283
2021-12-07 00:00:00+00:00,2024-12-07 00:00:00+00:00,2023-06-08 00:00:00+00:00,4.578405592661085,0.014466214590602378,0.8458718912975127,183508,0.03422784265004947
2022-03-07 00:00:00+00:00,2025-03-07 00:00:00+00:00,2023-09-06 00:00:00+00:00,4.526752496512449,0.015442610749486671,0.8430634871478515,182084,0.035024810760863834
2022-06-07 00:00:00+00:00,2025-06-07 00:00:00+00:00,2023-12-07 00:00:00+00:00,4.48845510022236,0.016058090817676188,0.839933396663565,181521,0.035117440477238304
2022-09-07 00:00:00+00:00,2025-09-07 00:00:00+00:00,2024-03-08 00:00:00+00:00,4.444797267805944,0.0192448744682975,0.8348196797783674,180435,0.035987004647462295
2022-12-07 00:00:00+00:00,2025-12-07 00:00:00+00:00,2024-06-07 00:00:00+00:00,4.482317247136242,0.02011458734679633,0.8344696782182504,179519,0.03618172784963786
2023-03-07 00:00:00+00:00,2026-03-07 00:00:00+00:00,2024-09-05 00:00:00+00:00,4.5116628081885555,0.019718761656613466,0.834547952012229,179995,0.035949747977720214
