pre_start,pre_end,n,nu,scale,ks,shoulder_max,passes
2010-06-01,2020-06-01,562560,5.1655435095378746,0.8661725729469486,0.07658406670305984,0.0024092864798063163,False
2012-01-01,2020-06-01,476047,5.082337787826724,0.8661906956956872,0.07632764740105796,0.002419989370541109,False
2013-01-01,2020-06-01,422267,5.032217371410051,0.8689706408819868,0.07451620847667989,0.0026406934275792215,False
2014-01-01,2020-06-01,369006,4.995916456547887,0.8721406894899542,0.07103954552641889,0.00268402679833879,False
2015-01-01,2020-06-01,315149,4.98975464290462,0.8722151065354246,0.06821026135110636,0.002952822755642348,False
2016-01-01,2020-06-01,256632,4.966744778214487,0.8713092818880024,0.06892326748341016,0.0030184211643868863,False
2017-01-01,2020-06-01,199416,4.889493570987021,0.8721527559628586,0.06804941497460432,0.003377055867958778,False
2018-01-01,2020-06-01,143822,4.803286432041148,0.8732417016469167,0.05480879857525417,0.003125419327173362,False
