cutoff,nu_pre,scale_pre,n_pre,ks_pre,shoulder_pre,nu_post,scale_post,n_post,ks_post,shoulder_post,ks_combined,pre_passes,post_passes
2019-10-01,5.218692897675258,0.8667028642760856,523535,0.078725406767572,0.002307269599655992,4.569232933692227,0.8451559264958111,394556,0.03547737433684117,0.0045601682369009605,0.06013926369053559,False,True
2020-01-01,5.1524535490346395,0.8641551364576984,538272,0.07845811451144341,0.0023981378867325986,4.615438336016769,0.8477169112645462,379819,0.03421484982389755,0.004748298862117112,0.06015444684630021,False,True
2020-03-01,5.152678058603077,0.8648518971904503,547350,0.0779382392317266,0.0024227642963630114,4.602300600176349,0.8462500438702328,370741,0.03388698617256164,0.004827334622663854,0.06014958254038786,False,True
2020-06-01,5.1655435095378746,0.8661725729469486,562560,0.07658406670305984,0.0024092864798063163,4.56438512211665,0.8433350922627988,355531,0.03411394520819189,0.004904803981626987,0.06013750011522498,False,True
2020-09-01,5.1466256134952335,0.8657287025200133,577635,0.0754984457173703,0.0025446079650381925,4.565490583346465,0.8430712351874583,340456,0.03410198547998422,0.004893807217586574,0.06014738218817818,False,True
