contract,n,r,abs_r,status
ES,359581,-0.00038741073091852853,0.00038741073091852853,preserved
NQ,811012,0.012285593692727987,0.012285593692727987,preserved
RTY,423776,0.007356484489198662,0.007356484489198662,preserved
